Original Data	Log Sales	Trendless and Seasonless	Only Seasonless	Moving Avg	Global Polynomial fit	MA order 7
					13.73240973	
					13.73275126	
					13.73309267	
					13.73343397	
					13.73377516	
					13.73411623	
					13.73445718	
					13.73479802	
					13.73513874	
					13.73547935	
					13.73581984	
					13.73616022	
					13.73650048	
					13.73684062	
					13.73718065	
					13.73752057	
					13.73786037	
					13.73820005	
					13.73853962	
					13.73887908	
					13.73921842	
					13.73955764	
					13.73989675	
					13.74023574	
					13.74057462	
					13.74091338	
					13.74125203	
					13.74159056	
					13.74192898	
					13.74226728	
					13.74260546	
					13.74294353	
					13.74328149	
					13.74361933	
					13.74395705	
					13.74429466	
					13.74463215	
					13.74496953	
					13.74530679	
					13.74564394	
					13.74598097	
